N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"68,700","1,800",+2.69%,100,"4,101,241","5,969,783",53.07,"12,282,495",13.11,17.07,
2,LG에너지솔루션,"376,500","9,000",-2.33%,500,"881,010","234,000",4.51,"320,136",63.87,5.75,
3,SK하이닉스,"120,100","3,800",+3.27%,"5,000","874,331","728,002",51.96,"2,505,987",-10.67,3.56,
4,삼성바이오로직스,"704,000","5,000",-0.71%,"2,500","501,065","71,174",10.26,"31,754",60.68,11.42,
5,삼성전자우,"55,600","2,000",+3.73%,100,"457,525","822,887",72.43,"1,155,441",10.61,N/A,
6,현대차,"170,300",600,+0.35%,"5,000","360,238","211,532",32.97,"398,020",4.93,9.36,
7,POSCO홀딩스,"402,500","9,000",-2.19%,"5,000","340,399","84,571",27.33,"834,548",27.13,6.11,
8,기아,"77,700",800,+1.04%,"5,000","312,388","402,044",38.53,"631,406",4.23,14.57,
9,NAVER,"187,600",200,+0.11%,100,"307,756","164,049",46.72,"471,016",42.24,3.29,
10,LG화학,"431,000","9,000",-2.05%,"5,000","304,253","70,592",43.89,"332,312",22.54,6.95,
11,삼성SDI,"426,500","1,000",+0.24%,"5,000","293,281","68,765",46.60,"360,098",14.27,12.52,
12,셀트리온,"149,100",400,-0.27%,"1,000","218,287","146,403",19.62,"441,702",39.76,13.35,
13,KB금융,"51,200",300,-0.58%,"5,000","206,598","403,511",72.83,"726,803",4.51,9.17,
14,현대모비스,"213,000","4,500",+2.16%,"5,000","200,827","94,285",38.19,"151,544",6.77,6.80,
15,삼성물산,"106,400",300,-0.28%,100,"197,470","185,592",18.86,"196,512",8.99,7.16,
16,포스코퓨처엠,"233,000","3,500",-1.48%,500,"180,489","77,463",6.94,"923,194",146.54,4.87,
17,신한지주,"35,000",250,+0.72%,"5,000","180,426","515,504",59.79,"648,747",4.05,9.70,
18,카카오,"37,650",150,-0.40%,100,"167,349","444,485",25.66,"1,138,576",143.70,13.54,
19,LG전자,"100,400",700,+0.70%,"5,000","164,302","163,648",29.37,"379,175",44.27,6.61,
20,삼성생명,"72,800",500,+0.69%,500,"145,600","200,000",17.01,"170,891",6.83,5.73,
21,삼성화재,"259,500","1,000",+0.39%,500,"122,938","47,375",53.27,"54,872",7.73,9.70,
22,LG,"77,600",400,+0.52%,"5,000","122,066","157,301",36.23,"114,235",11.83,8.48,
23,SK이노베이션,"120,300","1,900",-1.55%,"5,000","121,089","100,656",21.34,"449,796",-13.53,8.49,
24,KT&G,"87,100","1,800",+2.11%,"5,000","116,559","133,822",42.32,"169,865",13.54,11.00,
25,하나금융지주,"39,550",350,+0.89%,"5,000","115,627","292,357",68.58,"576,010",3.04,10.06,
26,SK텔레콤,"49,200",50,+0.10%,100,"107,666","218,833",41.27,"348,509",10.09,7.97,
27,한국전력,"16,760",160,-0.95%,"5,000","107,593","641,964",14.01,"540,512",-0.52,-46.91,
28,삼성에스디에스,"138,300",100,+0.07%,500,"107,013","77,378",15.76,"77,188",10.59,14.23,
29,SK,"145,200","3,200",+2.25%,200,"106,284","73,198",22.32,"147,924",-11.50,5.13,
30,메리츠금융지주,"50,700",500,+1.00%,500,"105,566","208,218",16.47,"253,040",4.85,30.32,
31,삼성전기,"128,500","4,200",+3.38%,"5,000","95,981","74,694",31.17,"416,266",16.40,13.76,
32,하이브,"230,000","10,500",+4.78%,500,"95,800","41,652",16.78,"243,268",149.54,1.87,
33,고려아연,"458,000","11,000",-2.35%,"5,000","95,761","20,909",18.62,"95,283",15.26,9.38,
34,우리금융지주,"12,050",150,+1.26%,"5,000","91,644","760,535",36.48,"1,229,411",3.01,11.51,
35,HD현대중공업,"102,800",700,+0.69%,"5,000","91,259","88,773",7.16,"87,115",-84.54,-6.47,
